[2026-06-02 00:02:11] [ready] debug log started
[2026-06-02 00:02:12] [track] login tracker hosts=11ef5c.playfabapi.com,pw-auth.pw.sclfrst.com resolved-ips=3
[2026-06-02 00:02:25] [ready] debug log started
[2026-06-02 00:02:26] [track] login tracker hosts=11ef5c.playfabapi.com,pw-auth.pw.sclfrst.com resolved-ips=3
[2026-06-02 00:02:40] [warn] pid=46296 57582 IPv6 target 2603:1061:14:165::1:443; bypassed because the upstream proxy may reject IPv6
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
[2026-06-02 00:02:45] [error] pid=46296 via 206.232.13.228.geo.proxy.kyystore.net:1337 failed: proxy DNS failed for 206.232.13.228.geo.proxy.kyystore.net:1337: [Errno 11002] getaddrinfo failed
